Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
3,"[ 2.36746384e+02 -5.69605017e+00 -8.09363937e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  0.00000000e+00
  1.78285193e+00  1.22424095e+02  3.59023346e+02  1.62027484e-02]",21,0.197,"[0.19154, 0.192099, 0.192588, 0.193025, 0.193708, 0.194202, 0.194686, 0.1952, 0.195699, 0.196184, 0.196658, 0.19714]",False
3,"[ 2.36814285e+02 -5.69819546e+00 -8.09094925e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.84720695e+00  1.23629509e+02  3.58980804e+02  1.47591735e-02]",24,0.203,"[0.197674, 0.19818, 0.198641, 0.199113, 0.199571, 0.200042, 0.200508, 0.201034, 0.201506, 0.202017, 0.202583, 0.203016]",False
3,"[ 2.36884064e+02 -5.70057392e+00 -8.08814850e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.91998410e+00  1.24927887e+02  3.58925110e+02  9.84431358e-03]",45,0.297,"[0.297029, 0.204004, 0.204449, 0.204946, 0.205447, 0.205917, 0.206439, 0.206935, 0.207576, 0.208067, 0.208544, 0.209]",False
3,"[ 2.36957092e+02 -5.70285749e+00 -8.08525467e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.97441471e+00  1.26323135e+02  3.58871338e+02  1.17384349e-02]",40,0.215,"[0.209489, 0.210023, 0.21057, 0.211071, 0.211625, 0.212068, 0.212543, 0.213026, 0.213499, 0.213951, 0.214437, 0.214886]",False
3,"[ 2.37031998e+02 -5.70427465e+00 -8.08215408e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  1.96210480e+00  1.27980400e+02  3.58922302e+02  1.13852888e-02]",0,0.22,"[0.215338, 0.215778, 0.216227, 0.216693, 0.217121, 0.217535, 0.218039, 0.218543, 0.218939, 0.219444, 0.219832, 0.220373]",False
3,"[ 2.37105713e+02 -5.70580006e+00 -8.07917557e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  1.96476269e+00  1.29669968e+02  3.58932709e+02  1.19526756e-02]",0,0.226,"[0.220811, 0.22127, 0.221838, 0.222299, 0.222772, 0.223227, 0.223678, 0.224201, 0.22464, 0.225069, 0.225411, 0.225965]",False
3,"[ 2.37181625e+02 -5.70713186e+00 -8.07627335e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  1.93736291e+00  1.31490784e+02  3.58984253e+02  1.51256375e-02]",29,0.515,"[0.226432, 0.226886, 0.402972, 0.403643, 0.404365, 0.40507, 0.405752, 0.411059, 0.467563, 0.504811, 0.515108, 0.292074]",False
3,"[ 2.37259155e+02 -5.70849037e+00 -8.07334900e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.90211737e+00  1.33520050e+02  3.59058319e+02  1.37511573e-02]",32,1.0,"[0.261416, 0.428052, 0.429632, 0.413907, 0.414656, 0.416152, 0.417286, 0.999971, 0.443708, 0.464752, 0.471201, 0.295296]",False
3,"[ 2.37344696e+02 -5.70928335e+00 -8.07196426e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.79860723e+00  1.35966003e+02  3.59141479e+02  1.44836268e-02]",17,1.0,"[0.999972, 0.999971, 0.244408, 0.999971, 0.999971, 0.999971, 0.245681, 0.999972, 0.999972, 0.248284, 0.249035, 0.999972]",False
3,"[ 2.37442093e+02 -5.71001673e+00 -8.07133255e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.69880593e+00  1.38064606e+02  3.59335052e+02  2.00703490e-02]",25,1.0,"[0.999972, 0.999972, 0.999972, 0.999972, 0.25378, 0.44396, 0.44494, 0.446546, 0.447847, 0.448804, 0.449531, 0.999974]",False
3,"[ 2.37538452e+02 -5.71181250e+00 -8.07067337e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.71590221e+00  1.40191010e+02  3.59331390e+02  1.45178826e-02]",8,1.0,"[0.56936, 0.588487, 0.999979, 0.326532, 0.287359, 0.999974, 0.999974, 0.999973, 0.999973, 0.999973, 0.999973, 0.999974]",False
3,"[ 2.37637604e+02 -5.71315956e+00 -8.07099915e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.40000000e+01  1.00000000e+00
  1.59927583e+00  1.42579285e+02  3.59485870e+02  1.74862513e-02]",35,1.0,"[0.999976, 0.999977, 0.999979, 0.999978, 0.999975, 0.999974, 0.283228, 0.999974, 0.999974, 0.999974, 0.999974, 0.999974]",False
